Makeshift cooling racks! #BakingFail :D http://t.co/vKNmCsoFRu,http://pbs.twimg.com/media/Bd96sQPIIAAnHIh.jpg,yes,yes,CD
"Dead car, flat tire, broken garage door, and now this. Not my luckiest week. #badluck #bakingfail http://t.co/ku2bY5qSHN",http://pbs.twimg.com/media/BdlBGK2CMAABaga.jpg,yes,yes,perfect
Welp... This happened today.... #opps #floureverywhere #bakingfail @tomj6969 @charliedoesntdotwitter http://t.co/f81Oc1XTt9,http://pbs.twimg.com/media/BdbkToWIUAA4I3r.jpg,yes,no,NA
Here's what happens when you don't grease your pans enough...lemon cake hoagies?... #bakingfail #treatyoself http://t.co/MeYZcSJpuM,http://pbs.twimg.com/media/Bcx-bu9IMAAGLNi.jpg,yes,yes,partial
"""The stomach doesn't know what shape they were supposed to be.""-- My Dad #BakingFail #ChristmasCountdown http://t.co/ZZ610gCf2j",http://pbs.twimg.com/media/BcTREWcCUAAwCV5.jpg,yes,yes,partial
Something...seems...off #bakingfail http://t.co/JflwTo6g,http://pbs.twimg.com/media/A5dj5emCUAAuqB_.jpg,yes,no,NA
Mince pie Christmas Trees .... I swear they are! :/ #bakingfail http://t.co/pOn7O587L5,http://pbs.twimg.com/media/BcLfbSHIgAAkdfj.jpg,yes,no,NA
@HMaguire81 oh noooo I had a butter creme disaster so no cakes today :( #bakingfail http://t.co/1J3IVv29,http://pbs.twimg.com/media/A5TzU1ZCUAAt55W.jpg,yes,no,alt
getting better but still shit #bakingfail http://t.co/48GqEsAK,http://pbs.twimg.com/media/A5B_F1HCYAAM2gQ.jpg,yes,yes,perfect
My mom and I are obviously really good at making reindeer cookies  #cantyouseeit #bakingfail http://t.co/qLgUg3Zk8L,http://pbs.twimg.com/media/BcG_znpCIAA98RA.jpg,yes,yes,partial
World's worst cake. #bakingfail http://t.co/ZMqqsSui,http://pbs.twimg.com/media/A5B9IRvCMAASCiV.jpg,yes,yes,partial
Putting together the gingerbread house didn't quite go as planned.... #BakingFail  #stilltasty http://t.co/YQjhdkxza8,http://pbs.twimg.com/media/BcGMzS7IUAASXE3.jpg,yes,yes,partial
Cake pops....looks easy but not worth the effort! #bakingfail #pintrestchallenge http://t.co/KuV0Vr4i,http://pbs.twimg.com/media/A4fAMebCAAEgyv3.jpg,yes,yes,partial
Story of my life #bakingfail  http://t.co/KxiHVtsoM0,http://pbs.twimg.com/media/BcC6w1uIQAAVvMU.jpg,yes,no,NA
#bakingfail I was making gingerdoodles and forgot to put the baking soda in. http://t.co/HFpQnNyQHi,http://pbs.twimg.com/media/Bb931kNCUAEWVJb.jpg,yes,yes,alt
I should #definitely be a chef. #lolnot #bakingfail http://t.co/BwriZOaO,http://pbs.twimg.com/media/A4P2Gk3CcAA5-4g.jpg,yes,yes,partial
This was not supposed to happen. #bakingfail http://t.co/Mm7Yh755oI,http://pbs.twimg.com/media/Bb9bKJnCQAEzIh2.jpg,yes,yes,partial
#cookies #bakingfail http://t.co/4UtTsS6k,http://pbs.twimg.com/media/A4POQf_CIAEfUfC.jpg,yes,yes,partial
Tomorrow my colleagues will be treated to frosted turd and balls #xmasbuffet #bakingfail mm mm mm  http://t.co/QGiuWZ3LW2,http://pbs.twimg.com/media/Bbj19frIEAAwdth.jpg,yes,yes,CD
@ShaneMoore92 @aprilroseb bit cracked but they taste the same #bakingfail http://t.co/4a598PA4,http://pbs.twimg.com/media/A4On2MoCMAA7aKG.jpg,yes,yes,partial
Where the heck am I going to get a giant cupcake in the morning for cake smash photos!? #bakingfail #yeg http://t.co/yWy0mB2nWU,http://pbs.twimg.com/media/BbgGxdbCIAIfchu.jpg,yes,yes,CD
#bakingfail http://t.co/2ReMBaf9,http://pbs.twimg.com/media/A3mfIvSCEAMxhEX.jpg,yes,yes,CD
The headless gingerbread man of the apocalypse.  #offhishead #bakingfail http://t.co/UymOAXIcax,http://pbs.twimg.com/media/BbeBg26IMAAr31R.jpg,yes,yes,partial
Gluten free baking fail? Hopefully my 1/2 inch thick cake tastes good #bakingfail http://t.co/hJX38Ziu,http://pbs.twimg.com/media/A3SLrYLCYAEvbPV.jpg,yes,yes,partial
New #Vlog from @DanGheesling ! http://t.co/3WL0MFSjOw #BakingFail #CookingWithDan :) http://t.co/vmwSkmWF9c,http://pbs.twimg.com/media/Bba7yhjCAAAJ5eg.jpg,yes,no,NA
"Christmas cupcakes turned out more like biscuits, I'm sure @gazzzwood will still eat them though! #bakingfail  http://t.co/78bNKA72jV",http://pbs.twimg.com/media/BbNee0vIIAAsxju.jpg,yes,yes,alt
Seriously who forgets about the creme pie filling and burns it?! Hahaha #bakingfail #goodthingthisisatestrun http://t.co/hXJweKkV,http://pbs.twimg.com/media/A23vfW7CQAAigu-.jpg,yes,yes,partial
This is what happens to confetti cookie dough when you forget to add flour. #bakingfail http://t.co/DwKK3OW1,http://pbs.twimg.com/media/A23BSICCQAEfyED.jpg,yes,yes,partial
Tonight's loaf rather disappointingly deflated as I slashed it before sticking it in the oven. #bakingfail http://t.co/yoCFoUU0Cc,http://pbs.twimg.com/media/Ba_SS84CAAAIu1W.jpg,yes,yes,alt
Baked heart shaped scones. They look nothing like scones and the taste is also debatable.. #bakingfail http://t.co/W8FNMCU2,http://pbs.twimg.com/media/A2sDu1FCIAAlBk3.jpg,yes,yes,alt
Sometimes I wonder about @JoseOcampo58 #BakingFail #NoApplePie  http://t.co/WemMmBveEQ,http://pbs.twimg.com/media/BanaJHYCYAAGrji.jpg,yes,yes,partial
Never let the baked lead the baked #bakingfail @shlebmaster http://t.co/iQQxFg0c,http://pbs.twimg.com/media/A2ZwadnCQAAMgoF.jpg,yes,no,CD
Carrot cake went wrong :(  #bakingfail #blamingtherecipe http://t.co/HfZYwmz0jC,http://pbs.twimg.com/media/BabGl4FCEAAumEo.jpg,yes,yes,partial
@daniellekay88 At least we know our oven works really well #bakingfail That is still 1000 times better than my baking http://t.co/gu4ijQQA,http://pbs.twimg.com/media/A2Xu-91CYAAlGUH.jpg,yes,no,NA
"Dear #Microsoft. These are not biscuits. They are scones. The world exists outside America, you know. #bakingfail http://t.co/Wv4Y1bEzOO",http://pbs.twimg.com/media/BaT7wSUIAAAmOLZ.png,no,NA,NA
@arwallace619 they started out with such potential #bakingfail http://t.co/mBmLX5t0Tg,http://pbs.twimg.com/media/BZ3ndMwCUAAboOE.jpg,yes,yes,CD
Largest macaroon ever...  #bakingfail http://t.co/kxmLTDIM,http://pbs.twimg.com/media/A2TGEV9CUAAp_Q4.jpg,yes,no,NA
That moment when you realise you've used plain flour rather than self raising... #bakingfail #eatthenanyway http://t.co/10TwbjDPTs,http://pbs.twimg.com/media/BZ3KpVhIgAACD7C.jpg,yes,yes,partial
"Well, I've learned my lesson about messing around with the proportions in a bread machine recipe. #yegfood #bakingfail http://t.co/doSSt0Lt",http://pbs.twimg.com/media/A1xAegbCYAAl2dn.jpg,yes,yes,partial
One perfect cake and another er.. Not so perfect! #bakingfail #marblecake http://t.co/miAlnTOn36,http://pbs.twimg.com/media/BZ1_et0IAAEEKtI.jpg,yes,yes,partial
Accidntally pushed 'puree' instead of 'chop'. Now wat to do with cupful of powderd nuts? #bakingfail http://t.co/LSFIovT,http://pbs.twimg.com/media/A1iYPO0CMAAj7qE.jpg,yes,yes,alt
Made some cookies last night that ended up as #biscuits... :S #BakingFail #TasteGoodThough http://t.co/BdJ6cRqJF1,http://pbs.twimg.com/media/BZWV2LCCAAAfyd7.jpg,yes,yes,CD
Banana bread... #bakingfail http://t.co/nyQRwD7A,http://pbs.twimg.com/media/A07oTbyCAAAxNLh.jpg,yes,no,NA
